㐀	丘
㐁	𠀬
㐅	五
㐫	凶
㐮	襄
㐯	庸
㐱	鬒
㐴	攀
㐵	儒
㐷	傌
㐹	㑶
㐽	偑
㑁	𠭴
㑄	侮
㑇	㑳
㑈	倲
㑌	尩
㑔	㑯
㑝	𢙱
㑩	儸
㑮	𫝈
㑯	㑔
㑳	㑇
㑶	㐹
㑺	儁
㒇	儛
㒋	厮 廝
㒓	𠉂
㒖	𮯵
㒚	文 穩
㒜	𠇐
㒞	儶
㒣	𬾖
㒰	全
㒲	財
㒷	興
㒿	𰖩
㓁	网
㓄	𪠟
㓆	𠗣
㓖	𰃻
㓟	披
㓥	劏
㓨	刾
㓮	彫 雕
㓰	劃
㓷	劓
㓸	斲
㔃	𫦌
㔅	𫦅
㔉	劚
㔋	𪟎
㔍	䥷
㔝	𫦩
㔢	𫦳
㔱	斞
㔾	卩
㕑	厨 𢊍
㕒	𰆕
㕚	爪 爫
㕞	刷
㕢	𰇀
㖈	䎛
㖊	噚
㖞	喎
㖦	𰇎
㖮	𪠵
㗖	啖 啗 噉
㗘	𠽢
㗙	𫩩
㗢	𰇖
㗣	𫪺
㗰	𫩛
㗲	𠵾
㗳	嗒
㗶	𭇜
㗻	𫪀
㗼	𫩤
㗿	𪡛
㘅	啣 銜
㘉	𠰱
㘎	㘚
㘓	𪢌
㘔	𫬐
㘖	𰉁
㘙	𫪂
㘚	㘎
㘤	𡈛
㘽	㦳 栽
㙔	𰉘
㙡	𭎂
㙢	𰊟
㙬	𫮜
㙮	塔
㙳	轗
㙺	𰊛
㙾	𰉽
㚝	奎 奞
㚣	姣
㚯	㜄
㛀	媰
㛍	𮰿
㛛	娠
㛝	𫝦
㛟	𡞵
㛠	𡢃
㛣	㜏
㛤	孋
㛿	𡠹
㜄	㚯
㜏	㛣
㜐	𫝧
㜕	𮱇
㜗	𡞋
㜞	𰌆
㜢	𡞱
㜥	𫰨
㜭	𫰠
㜮	𫱕
㜰	𮰽
㜷	𡝠
㜺	𫲗
㝃	娩
㝛	宿
㝞	𫳃
㝟	𫤸
㝦	寯 𮱠
㝵	碍 礙
㝷	𡬶
㞐	居
㞞	𪨊
㟆	㠏
㟗	豳 邠
㟜	𡾱
㟢	埼 崎 嵜 碕 陭 﨑 𥔎
㟥	嵾
㟦	𮱩
㟺	𪩇
㠁	𫶅
㠆	𮱯
㠊	嶇
㠏	㟆
㠠	𰎐
㠣	𫵷
㠯	以
㠶	帆
㡅	𣍓
㡎	幓
㡓	𫷅
㡘	𢅏
㡞	𰏜
㡿	斥
㢗	𪪑
㢝	𢋈
㢴	西
㣶	邅
㣺	心 忄
㣼	忍
㤒	笨
㤖	懧
㤘	㥮
㤭	憍
㤲	𫺁
㤵	慈
㤽	懤
㥃	悶 懣
㥪	慺
㥮	㤘
㥵	慁
㥷	𰑸
㦈	𢣏
㦊	𫺆
㦎	𢛯
㦖	𫺓
㦛	𢗓
㦞	𪫷
㦡	𮲃
㦦	𫻁
㦧	憯
㦬	𰑫
㦭	𭝋
㦳	㘽
㧃	收
㧏	掆
㧐	㩳
㧑	撝
㧖	扼 搤
㧛	擥
㧜	擸
㧟	擓
㧰	擽
㨉	抿
㨗	捷
㨛	𰓔
㨟	𫼥
㨥	𫽀
㨨	㩅
㨫	㩜
㨻	𪮃
㨼	撂
㩁	搉
㩅	㨨
㩇	𫽇
㩋	𪮋
㩌	𫽧
㩜	㨫 擥 攬
㩣	𫾉
㩭	𫽊
㩳	㧐
㩵	擜
㩷	𰔲
㩹	𢶣
㪅	更
㪎	𪯋
㪯	舉
㪹	𬖠
㫃	偃
㫎	幑 𣄈
㫚	昒 曶
㬅	曼
㬎	顯
㬢	𮲛
㬣	𬀮
㬮	𰖠
㬱	朁
㬹	踭
㭎	棡
㭏	椲
㭒	耜
㭣	𣙎
㭤	樢
㭨	椰
㭴	樫
㮓	𣕲
㮝	𣒗
㮠	𣞁
㮣	槩 槪
㮲	𰗙
㮿	𮲰
㯂	𰘀
㯃	桼 漆
㯆	𰗡
㯤	𣘐
㯭	樐 櫓
㯶	棕
㯸	𰗦
㯼	𣙥
㯽	檳
㰂	𰗵
㰄	𮲶
㰅	𭫙
㰍	櫳 𬺜
㰙	𣗙
㰰	𬅢
㰳	𭭈
㱩	殰
㱮	殨
㱿	壳 殼
㲒	勽
㲓	毧
㲯	𰚪
㲰	𰚔
㲲	𬇇
㲿	瀇
㳄	涎
㳒	法
㳔	濧
㳕	灡
㳠	澾
㳡	濄
㳢	𣾷
㳽	瀰
㴋	潚
㴑	溯
㴔	潝
㴸	𰛛
㴿	𰛽
㵍	𬇰
㵑	𰜢
㵒	沸 𬈕
㵗	𣳆
㵤	𬉇
㵾	𪷍
㶆	𫞛
㶉	鸂
㶌	𣾍
㶍	𰝟
㶏	𰝋
㶒	𰛩
㶕	𰝗
㶶	燶
㶽	煱
㷃	𰝾
㷉	熨
㷍	𤆢
㷠	燐 粦
㷪	𤎱
㷲	𰞉
㷶	𰞲
㷻	煳 𭴊
㷿	𤈷
㸅	𰞍
㸇	𤎺
㸊	𬋍
㸐	𬊾
㹓	𰠴
㹽	𫞣
㺍	獱
㺏	𤠋
㺑	𬌷
㺜	𪺻
㻅	璯
㻏	𤫩
㻘	𤪺
㻪	㻽
㻶	𪼋
㻽	㻪
㼀	𮴘
㼁	𮴂
㼆	𬎆
㼈	𭹜
㼻	𬎧
㽣	域
㽽	痼
㾊	瘠
㾙	脪
㾡	𤷽
㾵	𬏟
㾺	𬏜
㿉	𰣶
㿎	𬏷
㿖	𪽮
㿗	𤻊
㿟	皎 皦
㿧	𤽯
㿷	糙
㿸	𥀤
㿹	𰤨
䀉	𥁢
䀋	鹽
䀍	𰥊
䀠	瞿
䀡	䦓 覘
䀢	瞬
䀥	䁻
䀴	𬑏
䀹	睫 𥅴
䁖	瞜
䁝	𰥞
䁪	𥇢
䁱	𬑒
䁻	䀥
䂀	𥋟
䂎	𥎝
䂓	𰦔
䂫	夯
䂵	碽
䃁	𰦴
䃅	磾
䃉	珉
䃕	𰦷
䃘	硜 𬒎
䃢	𰧎
䃣	𰦨
䃤	𬒕
䃮	鿎
䃴	𰧘
䄃	殃
䄍	蜡
䄯	𢆞
䄺	稊
䅉	稏
䅐	𫀨
䅘	𥟂
䅟	穇
