支	攴 攵
攴	攵
乂	㐅
水	氵
火	灬
心	忄
手	扌
犬	犭
示	礻
衣	衤
言	讠
金	钅
食	饣
糸	纟
艸	艹
网	罒
阜	阝
邑	阝
刀	刂
人	亻
玉	王
肉	月
龺	𠦝
㒹	㒹
㓁	冗
㙜	𡎲
㛮	㛮
㠯	㠯
㣇	㣇
㴝	𪏭
䀈	䀈
䏙	䏙
䕫	䕫
䘵	䘵
並	並
丸	丸
丽	丽
乁	乁
亂	亂
了	𠄐
二	𠄞 𠄟 𠄠
仌	仌
你	你
例	例
侻	侻
備	備
僧	僧 僧
充	充
免	免 免
兔	兔
內	內
全	全
兵	𠔊
具	具
冀	冀
内	內
冊	𠕁
再	再
冕	冕
冤	冤
冬	冬
况	况 况
凵	凵
刃	刃
切	切
刺	刺
刻	刻
割	割
劉	劉
劳	劳
勇	勇 勇
勉	勉 勉
勤	勤 勤
勵	勵
勺	勺 勺
包	包
匆	匆
北	北
卉	卉
卑	卑 卑
博	博
即	即
卽	卽
卿	卿 卿 卿
及	及
叟	叟
叫	叫
叱	叱
吆	吆
呈	呈
周	周
咢	咢
唐	唐
啓	啓
善	善 善
嘆	嘆 嘆
器	器 𠾖
噴	噴
圖	圖
型	型
垔	𡊹
城	城
報	報
墨	墨
壬	王
壮	壮
売	売
壳	売
壼	壷
夆	夆
多	多
夢	夢
夭	𫯛
奄	奄
奈	奈
奔	奔
奢	奢
姬	姬
娧	娧
婦	婦
嬾	嬾 嬾
寃	寃
寘	寘
寧	寧 寧 寧
寳	寳
寿	寿
将	将
尢	尢
屠	屠
層	層
屮	屮 屮
嶲	嶲
巢	巢
巽	𢁉 巽
度	度
庳	庳
庶	庶
廊	廊
廾	廾
当	当
彙	𢑥
形	形
彩	彩
彫	彫
復	復
忍	忍
志	志
恵	恵
悁	悁
愈	愈
慈	慈
慨	慨
憎	憎 憎 憎
憲	憲
成	成
戛	戛
戴	戴
执	𢩾
抱	抱
拼	拼
捨	捨
掃	掃
摩	摩
摷	摷
敏	敏 敏
敖	敖
敬	敬
數	數
料	料
既	既
旣	旣
昌	𭥗
晉	晉
暈	暈
暑	暑 暑
暜	暜
曆	曆
書	書
最	最
朗	朗 朗
望	望 望
杓	杓
柳	柳
柺	柺
栗	栗
桒	桒
梅	梅 梅
榣	榣
槱	𪳝
樂	樂 樂
次	次
歔	歔
歲	歲
歷	歷
歹	歹
殺	殺 殺
殻	殻
汎	汎
汧	汧
沈	沈
泌	泌
泍	泍
洞	洞
洴	洴
派	派
流	流 流
浩	浩
海	海 海
浸	浸
涅	涅
渚	渚
湮	湮
溺	溺
滋	滋 滋
滑	滑
滛	滛
漢	漢 漢
漣	漣
濫	濫
灷	灷
災	災
炭	炭
烈	烈
煮	煮 煮
爨	爨
爫	爫
爵	爵 爵
犀	犀
犯	犯
狀	狀
猪	猪
獺	獺
率	率
王	王
琢	琢 𤥨
瑜	瑜
瓊	瓊
画	画
甾	甾
留	留
略	略
異	異
疉	𤴁
益	益
盛	盛
盧	盧
直	直 直
眔	𥄳 𥄳
眞	眞
真	真 真
着	着
碑	碑
社	社
祐	祐
祖	祖 祖
祝	祝
禍	禍
福	福
穀	穀 穀
突	突 𥤮
竮	竮
節	節 節
篆	篆
築	築
篹	𥲻
类	类
紀	紀
累	累
絛	絛
綾	綾
緇	緇
練	練 練 練
縷	縷
繁	繁
署	署
羕	羕
老	老
者	者 者 者
聯	聯
聰	聰
育	育
脾	脾
臘	臘
臭	臭 𦤀
舁	舁 舁
舄	舄
艹	艹 艹
芋	芋
芑	芑
芝	芝
花	花
芳	芳
芽	芽
若	若
苦	苦
荒	荒
荣	荣
莭	莭
莽	莽
菊	菊
菌	菌
菜	菜
華	華
著	著 著
蓮	蓮
蓱	蓱
蕤	蕤
藍	藍
藺	藺
蘭	蘭
虐	虐
虜	虜
虧	虧
虩	虩
蚩	蚩
衣	衣
裏	裏
褐	褐
覆	覆
見	見
視	視 視
說	說
調	調
請	請
諸	諸
謁	謁 謁
謹	謹 謹 𧫴
識	識
變	變 變
豈	豈
豕	豕
豬	𧳯
貫	貫
賁	賁
賈	賈
賓	賓
贈	贈 贈
贛	贛
起	起
車	車
輸	輸 輸
辶	辶
逸	逸
遲	遲
郎	郎
郞	郞
金	金
錄	錄
開	開
陸	陸
隣	隣
隷	隷
隸	隸
難	難 難
靖	靖
頻	頻 頻
飢	飢
飯	飯
鰥	𩹌
鶴	鶴
鸞	鸞
麗	麗
麻	麻
黹	黹
黾	黾
鼏	鼏
鼻	鼻
龍	龍
龎	龎
龜	龜 龜 龜
廊	廊
朗	朗
寧	寧
若	若
了	𠄐
勉	勉
殺	殺
𠄞	𠄟 𠄠
𠄟	𠄠
𠄢	𠄢
𠔥	𠔥
𠕋	𠕋
𠘺	𠘺
𠣞	𠣞
𠦄	卉
𠨬	𠨬
𡛪	𡛪
𡴋	𡴋
𣍟	𣍟
𣎅	𦝲
𣏋	𣐂
𣪍	𣪍
𣵀	涅
𣷹	𣸸
𣾎	𣾎
𤋮	𤋮
𤕫	𤕬
𥁄	𥁄
𥃳	𥃳
𥄳	𥄳
𦊈	𦚋
𧈅	虩
𨗉	𮟏
